,Pi,h1,h12,h123,h2_h1,tajima_d,watterson_theta,bs,left_window,right_window
0,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,0,1,10
1,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,0,11,20
2,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,0,21,30
3,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,2,31,40
4,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,1,41,50
5,0.9955555555555555,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.051015513402207,0.35348576237901536,1,51,60
6,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,2,61,70
7,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,0,71,80
8,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,0,81,90
9,1.0,0.10000000000000003,0.12000000000000002,0.16000000000000003,0.8999999999999999,8.106745110948992,0.35348576237901536,0,91,100
